節氣	西元	月	日	時	分	秒
榖雨	2055	4	20	10	7	51
立夏	2055	5	5	20	3	9
小滿	2055	5	21	8	55	30
芒種	2055	6	5	23	55	11
夏至	2055	6	21	16	39	11
小暑	2055	7	7	10	4	31
大暑	2055	7	23	3	31	21
立秋	2055	8	7	20	0	20
處暑	2055	8	23	10	47	52
白露	2055	9	7	23	14	50
秋分	2055	9	23	8	48	4
寒露	2055	10	8	15	18	20
霜降	2055	10	23	18	32	37
立冬	2055	11	7	18	52	3
小雪	2055	11	22	16	25	29
大雪	2055	12	7	11	57	47
冬至	2055	12	22	5	54	56
小寒	2056	1	5	23	14	59
大寒	2056	1	20	16	32	15
立春	2056	2	4	10	46	27
雨水	2056	2	19	6	29	16
驚蜇	2056	3	5	4	31	26
春分	2056	3	20	5	10	24
清明	2056	4	4	8	59	18
榖雨	2056	4	19	15	51	26
立夏	2056	5	5	1	57	16
小滿	2056	5	20	14	41	15
芒種	2056	6	5	5	51	38
夏至	2056	6	20	22	27	32
小暑	2056	7	6	16	1	39
大暑	2056	7	22	9	21	33
立秋	2056	8	7	1	55	22
處暑	2056	8	22	16	38	23
白露	2056	9	7	5	6	37
秋分	2056	9	22	14	38	50
寒露	2056	10	7	21	8	24
霜降	2056	10	23	0	24	40
立冬	2056	11	7	0	42	38
小雪	2056	11	21	22	19	33
大雪	2056	12	6	17	50	13
冬至	2056	12	21	11	50	57
小寒	2057	1	5	5	9	21
大寒	2057	1	19	22	29	28
立春	2057	2	3	16	41	49
雨水	2057	2	18	12	26	43
驚蜇	2057	3	5	10	26	19
春分	2057	3	20	11	7	15
清明	2057	4	4	14	51	56
榖雨	2057	4	19	21	46	50
立夏	2057	5	5	7	45	57
小滿	2057	5	20	20	34	32
芒種	2057	6	5	11	35	37
夏至	2057	6	21	4	18	24
小暑	2057	7	6	21	41	44
大暑	2057	7	22	15	10	1
立秋	2057	8	7	7	33	13
處暑	2057	8	22	22	24	20
白露	2057	9	7	10	43	24
秋分	2057	9	22	20	22	36
寒露	2057	10	8	2	45	28
霜降	2057	10	23	6	8	20
立冬	2057	11	7	6	22	7
小雪	2057	11	22	4	6	1
大雪	2057	12	6	23	33	57
冬至	2057	12	21	17	42	11
小寒	2058	1	5	10	57	51
大寒	2058	1	20	4	25	22
立春	2058	2	3	22	33	48
雨水	2058	2	18	18	24	58
驚蜇	2058	3	5	16	19	11
春分	2058	3	20	17	4	21
清明	2058	4	4	20	43	17
榖雨	2058	4	20	3	40	12
立夏	2058	5	5	13	35	18
小滿	2058	5	21	2	23	23
芒種	2058	6	5	17	24	3
夏至	2058	6	21	10	3	24
小暑	2058	7	7	3	30	50
大暑	2058	7	22	20	53	8
立秋	2058	8	7	13	24	35
處暑	2058	8	23	4	8	5
白露	2058	9	7	16	37	19
秋分	2058	9	23	2	7	45
寒露	2058	10	8	8	40	31
霜降	2058	10	23	11	53	44
立冬	2058	11	7	12	16	25
小雪	2058	11	22	9	50	6
大雪	2058	12	7	5	26	24
冬至	2058	12	21	23	24	19
小寒	2059	1	5	16	48	31
大寒	2059	1	20	10	5	53
立春	2059	2	4	4	23	17
雨水	2059	2	19	0	4	33
驚蜇	2059	3	5	22	8	4
春分	2059	3	20	22	43	36
清明	2059	4	5	2	31	46
榖雨	2059	4	20	9	19	35
立夏	2059	5	5	19	23	17
小滿	2059	5	21	8	3	53
芒種	2059	6	5	23	11	35
夏至	2059	6	21	15	46	37
小暑	2059	7	7	9	18	8
大暑	2059	7	23	2	40	14
立秋	2059	8	7	19	12	3
處暑	2059	8	23	9	59	31
白露	2059	9	7	22	25	54
秋分	2059	9	23	8	2	52
寒露	2059	10	8	14	29	57
霜降	2059	10	23	17	50	6
立冬	2059	11	7	18	4	59
小雪	2059	11	22	15	45	16
大雪	2059	12	7	11	12	55
冬至	2059	12	22	5	17	18
小寒	2060	1	5	22	33	11
大寒	2060	1	20	15	57	28
立春	2060	2	4	10	7	30
雨水	2060	2	19	5	56	35
驚蜇	2060	3	5	3	53	25
春分	2060	3	20	4	37	51
清明	2060	4	4	8	19	2
榖雨	2060	4	19	15	16	41
立夏	2060	5	5	1	12	6
小滿	2060	5	20	14	2	50
芒種	2060	6	5	5	0	52
夏至	2060	6	20	21	44	59
小暑	2060	7	6	15	6	36
大暑	2060	7	22	8	35	5
立秋	2060	8	7	0	58	28
處暑	2060	8	22	15	48	52
白露	2060	9	7	4	9	57
秋分	2060	9	22	13	47	32
寒露	2060	10	7	20	12	50
霜降	2060	10	22	23	32	45
立冬	2060	11	6	23	48	12
小雪	2060	11	21	21	27	58
大雪	2060	12	6	16	56	54
冬至	2060	12	21	11	0	47
小寒	2061	1	5	4	17	46
大寒	2061	1	19	21	41	57
立春	2061	2	3	15	53	3
雨水	2061	2	18	11	42	31
驚蜇	2061	3	5	9	40	59
春分	2061	3	20	10	25	37
清明	2061	4	4	14	9	43
榖雨	2061	4	19	21	5	51
立夏	2061	5	5	7	5	49
小滿	2061	5	20	19	51	36
芒種	2061	6	5	10	55	58
夏至	2061	6	21	3	31	35
小暑	2061	7	6	21	1	26
大暑	2061	7	22	14	19	42
立秋	2061	8	7	6	52	10
處暑	2061	8	22	21	32	28
白露	2061	9	7	10	1	53
秋分	2061	9	22	19	30	44
寒露	2061	10	8	2	3	27
霜降	2061	10	23	5	16	34
立冬	2061	11	7	5	39	12
小雪	2061	11	22	3	13	32
大雪	2061	12	6	22	49	42
冬至	2061	12	21	16	48	11
小寒	2062	1	5	10	12	3
大寒	2062	1	20	3	29	32
立春	2062	2	3	21	46	22
雨水	2062	2	18	17	27	38
驚蜇	2062	3	5	15	30	44
春分	2062	3	20	16	6	51
清明	2062	4	4	19	54	46
榖雨	2062	4	20	2	43	59
立夏	2062	5	5	12	46	45
小滿	2062	5	21	1	29	7
芒種	2062	6	5	16	34	7
夏至	2062	6	21	9	10	44
小暑	2062	7	7	2	37	46
大暑	2062	7	22	20	1	31
立秋	2062	8	7	12	28	16
處暑	2062	8	23	3	17	39
白露	2062	9	7	15	39	45
秋分	2062	9	23	1	19	16
寒露	2062	10	8	7	43	53
霜降	2062	10	23	11	7	42
立冬	2062	11	7	11	21	52
小雪	2062	11	22	9	6	29
大雪	2062	12	7	4	33	49
冬至	2062	12	21	22	42	2
小寒	2063	1	5	15	56	34
大寒	2063	1	20	9	23	19
立春	2063	2	4	3	30	30
雨水	2063	2	18	23	20	40
驚蜇	2063	3	5	21	13	43
春分	2063	3	20	21	58	33
清明	2063	4	5	1	36	16
榖雨	2063	4	20	8	34	20
立夏	2063	5	5	18	27	40
小滿	2063	5	21	7	18	58
芒種	2063	6	5	22	16	55
夏至	2063	6	21	15	1	17
小暑	2063	7	7	8	24	48
大暑	2063	7	23	1	52	43
立秋	2063	8	7	18	19	26
處暑	2063	8	23	9	8	10
白露	2063	9	7	21	32	52
秋分	2063	9	23	7	7	35
寒露	2063	10	8	13	36	13
霜降	2063	10	23	16	52	39
立冬	2063	11	7	17	11	25
小雪	2063	11	22	14	47	43
大雪	2063	12	7	10	20	6
冬至	2063	12	22	4	20	29
小寒	2064	1	5	21	40	37
大寒	2064	1	20	15	0	44
立春	2064	2	4	9	14	10
雨水	2064	2	19	4	58	41
驚蜇	2064	3	5	2	58	43
春分	2064	3	20	3	38	0
清明	2064	4	4	7	23	41
榖雨	2064	4	19	14	15	13
立夏	2064	5	5	0	17	50
小滿	2064	5	20	13	1	6
芒種	2064	6	5	4	9	28
夏至	2064	6	20	20	45	2
小暑	2064	7	6	14	18	59
大暑	2064	7	22	7	38	44
立秋	2064	8	7	0	13	42
處暑	2064	8	22	14	56	2
白露	2064	9	7	3	25	43
秋分	2064	9	22	12	56	25
寒露	2064	10	7	19	27	19
霜降	2064	10	22	22	41	37
立冬	2064	11	6	23	0	59
小雪	2064	11	21	20	36	7
大雪	2064	12	6	16	8	38
冬至	2064	12	21	10	8	8
小寒	2065	1	5	3	28	54
大寒	2065	1	19	20	48	14
立春	2065	2	3	15	3	1
雨水	2065	2	18	10	46	58
驚蜇	2065	3	5	8	48	29
春分	2065	3	20	9	27	33
清明	2065	4	4	13	13	16
榖雨	2065	4	19	20	5	14
立夏	2065	5	5	6	4	45
小滿	2065	5	20	18	50	4
芒種	2065	6	5	9	51	32
夏至	2065	6	21	2	31	51
小暑	2065	7	6	19	56	12
大暑	2065	7	22	13	23	47
立秋	2065	8	7	5	48	38
處暑	2065	8	22	20	40	43
白露	2065	9	7	9	1	17
秋分	2065	9	22	18	41	59
寒露	2065	10	8	1	5	16
霜降	2065	10	23	4	29	3
立冬	2065	11	7	4	41	57
小雪	2065	11	22	2	25	57
大雪	2065	12	6	21	52	14
冬至	2065	12	21	16	0	9
小寒	2066	1	5	9	14	8
大寒	2066	1	20	2	41	28
立春	2066	2	3	20	48	42
雨水	2066	2	18	16	40	5
驚蜇	2066	3	5	14	33	28
春分	2066	3	20	15	19	12
清明	2066	4	4	18	57	6
榖雨	2066	4	20	1	54	39
立夏	2066	5	5	11	48	2
小滿	2066	5	21	0	36	50
芒種	2066	6	5	15	35	14
夏至	2066	6	21	8	15	47
小暑	2066	7	7	1	41	15
大暑	2066	7	22	19	5	40
立秋	2066	8	7	11	36	18
處暑	2066	8	23	2	22	53
白露	2066	9	7	14	52	42
秋分	2066	9	23	0	26	24
寒露	2066	10	8	7	0	13
霜降	2066	10	23	10	15	46
立冬	2066	11	7	10	38	37
小雪	2066	11	22	8	12	58
大雪	2066	12	7	3	47	51
冬至	2066	12	21	21	44	55
小寒	2067	1	5	15	6	25
大寒	2067	1	20	8	22	17
立春	2067	2	4	2	36	41
雨水	2067	2	18	22	16	43
驚蜇	2067	3	5	20	17	52
春分	2067	3	20	20	53	0
清明	2067	4	5	0	39	58
榖雨	2067	4	20	7	27	59
立夏	2067	5	5	17	31	33
小滿	2067	5	21	6	12	18
芒種	2067	6	5	21	20	42
夏至	2067	6	21	13	55	24
小暑	2067	7	7	7	28	31
大暑	2067	7	23	0	50	1
立秋	2067	8	7	17	24	27
處暑	2067	8	23	8	11	37
白露	2067	9	7	20	41	40
秋分	2067	9	23	6	19	2
寒露	2067	10	8	12	50	18
霜降	2067	10	23	16	11	9
立冬	2067	11	7	16	29	48
小雪	2067	11	22	14	9	59
大雪	2067	12	7	9	39	59
冬至	2067	12	22	3	42	29
小寒	2068	1	5	20	58	48
大寒	2068	1	20	14	19	21
立春	2068	2	4	8	28	23
雨水	2068	2	19	4	12	46
驚蜇	2068	3	5	2	8	17
春分	2068	3	20	2	48	22
清明	2068	4	4	6	29	5
榖雨	2068	4	19	13	23	45
立夏	2068	5	4	23	19	57
小滿	2068	5	20	12	9	23
芒種	2068	6	5	3	8	56
夏至	2068	6	20	19	53	10
小暑	2068	7	6	13	16	15
大暑	2068	7	22	6	46	4
立秋	2068	8	6	23	10	31
處暑	2068	8	22	14	3	18
白露	2068	9	7	2	25	12
秋分	2068	9	22	12	6	10
寒露	2068	10	7	18	32	26
霜降	2068	10	22	21	56	21
立冬	2068	11	6	22	12	46
小雪	2068	11	21	19	56	22
大雪	2068	12	6	15	25	33
冬至	2068	12	21	9	32	4
小寒	2069	1	5	2	47	40
大寒	2069	1	19	20	12	30
立春	2069	2	3	14	20	12
雨水	2069	2	18	10	8	24
驚蜇	2069	3	5	8	1	56
春分	2069	3	20	8	44	27
清明	2069	4	4	12	23	21
榖雨	2069	4	19	19	18	7
立夏	2069	5	5	5	14	5
小滿	2069	5	20	18	0	24
芒種	2069	6	5	9	2	42
夏至	2069	6	21	1	40	41
小暑	2069	7	6	19	10	20
大暑	2069	7	22	12	31	45
立秋	2069	8	7	5	5	23
處暑	2069	8	22	19	48	40
白露	2069	9	7	8	19	59
秋分	2069	9	22	17	51	16
寒露	2069	10	8	0	26	22
霜降	2069	10	23	3	41	33
立冬	2069	11	7	4	6	51
小雪	2069	11	22	1	43	1
大雪	2069	12	6	21	21	43
冬至	2069	12	21	15	21	27
小寒	2070	1	5	8	46	55
大寒	2070	1	20	2	4	24
立春	2070	2	3	20	21	11
雨水	2070	2	18	16	0	37
驚蜇	2070	3	5	14	1	47
春分	2070	3	20	14	34	18
清明	2070	4	4	18	19	10
榖雨	2070	4	20	1	3	54
立夏	2070	5	5	11	4	10
小滿	2070	5	20	23	42	41
芒種	2070	6	5	14	47	24
夏至	2070	6	21	7	21	59
小暑	2070	7	7	0	51	28
大暑	2070	7	22	18	15	4
立秋	2070	8	7	10	45	59
處暑	2070	8	23	1	36	31
白露	2070	9	7	14	3	11
秋分	2070	9	22	23	44	13
寒露	2070	10	8	6	12	45
霜降	2070	10	23	9	37	45
立冬	2070	11	7	9	54	56
小雪	2070	11	22	7	40	19
大雪	2070	12	7	3	10	8
冬至	2070	12	21	21	18	43
小寒	2071	1	5	14	35	18
大寒	2071	1	20	8	1	48
立春	2071	2	4	2	10	13
雨水	2071	2	18	21	59	3
驚蜇	2071	3	5	19	51	57
春分	2071	3	20	20	34	4
清明	2071	4	5	0	9	59
榖雨	2071	4	20	7	4	16
立夏	2071	5	5	16	54	37
小滿	2071	5	21	5	42	22
芒種	2071	6	5	20	37	21
夏至	2071	6	21	13	20	13
小暑	2071	7	7	6	42	10
大暑	2071	7	23	0	11	38
立秋	2071	8	7	16	38	31
處暑	2071	8	23	7	31	16
白露	2071	9	7	19	57	19
秋分	2071	9	23	5	37	8
寒露	2071	10	8	12	7	20
霜降	2071	10	23	15	28	34
立冬	2071	11	7	15	48	5
小雪	2071	11	22	13	28	7
大雪	2071	12	7	9	0	10
冬至	2071	12	22	3	3	17
小寒	2072	1	5	20	22	20
大寒	2072	1	20	13	44	33
立春	2072	2	4	7	56	23
雨水	2072	2	19	3	42	30
驚蜇	2072	3	5	1	40	19
春分	2072	3	20	2	20	27
清明	2072	4	4	6	3	5
榖雨	2072	4	19	12	54	23
立夏	2072	5	4	22	53	6
小滿	2072	5	20	11	35	2
芒種	2072	6	5	2	39	20
夏至	2072	6	20	19	13	12
小暑	2072	7	6	12	44	33
大暑	2072	7	22	6	3	32
立秋	2072	8	6	22	38	43
處暑	2072	8	22	13	21	53
白露	2072	9	7	1	54	32
秋分	2072	9	22	11	27	14
寒露	2072	10	7	18	2	41
霜降	2072	10	22	21	19	15
立冬	2072	11	6	21	43	14
小雪	2072	11	21	19	19	50
大雪	2072	12	6	14	55	52
冬至	2072	12	21	8	55	25
小寒	2073	1	5	2	18	15
大寒	2073	1	19	19	36	22
立春	2073	2	3	13	52	9
雨水	2073	2	18	9	34	9
驚蜇	2073	3	5	7	36	7
春分	2073	3	20	8	12	45
清明	2073	4	4	11	58	39
榖雨	2073	4	19	18	47	37
立夏	2073	5	5	4	47	11
小滿	2073	5	20	17	28	52
芒種	2073	6	5	8	30	3
夏至	2073	6	21	1	6	25
小暑	2073	7	6	18	30	15
大暑	2073	7	22	11	54	37
立秋	2073	8	7	4	19	37
處暑	2073	8	22	19	10	38
白露	2073	9	7	7	32	41
秋分	2073	9	22	17	14	42
寒露	2073	10	7	23	40	41
霜降	2073	10	23	3	7	27
立冬	2073	11	7	3	23	30
小雪	2073	11	22	1	10	52
大雪	2073	12	6	20	39	48
冬至	2073	12	21	14	50	7
小寒	2074	1	5	8	5	28
大寒	2074	1	20	1	33	33
立春	2074	2	3	19	40	41
雨水	2074	2	18	15	31	27
驚蜇	2074	3	5	13	23	42
春分	2074	3	20	14	8	16
清明	2074	4	4	17	44	33
榖雨	2074	4	20	0	41	8
立夏	2074	5	5	10	32	34
小滿	2074	5	20	23	21	3
芒種	2074	6	5	14	17	5
夏至	2074	6	21	6	57	52
小暑	2074	7	7	0	20	24
大暑	2074	7	22	17	45	8
立秋	2074	8	7	10	12	39
處暑	2074	8	23	0	59	59
白露	2074	9	7	13	27	42
秋分	2074	9	22	23	3	12
寒露	2074	10	8	5	36	40
霜降	2074	10	23	8	55	13
立冬	2074	11	7	9	19	8
小雪	2074	11	22	6	57	18
大雪	2074	12	7	2	33	50
冬至	2074	12	21	20	34	39
小寒	2075	1	5	13	57	16
大寒	2075	1	20	7	15	55
立春	2075	2	4	1	30	1
雨水	2075	2	18	21	11	25
驚蜇	2075	3	5	19	10	46
春分	2075	3	20	19	46	0
清明	2075	4	4	23	30	25
榖雨	2075	4	20	6	17	49
立夏	2075	5	5	16	19	6
小滿	2075	5	21	4	59	0
芒種	2075	6	5	20	6	6
夏至	2075	6	21	12	39	51
小暑	2075	7	7	6	12	53
大暑	2075	7	22	23	32	54
立秋	2075	8	7	16	7	47
處暑	2075	8	23	6	52	39
白露	2075	9	7	19	23	21
秋分	2075	9	23	4	58	15
寒露	2075	10	8	11	30	52
霜降	2075	10	23	14	50	2
立冬	2075	11	7	15	11	2
小雪	2075	11	22	12	50	37
大雪	2075	12	7	8	23	53
冬至	2075	12	22	2	26	30
小寒	2076	1	5	19	46	29
大寒	2076	1	20	13	7	6
立春	2076	2	4	7	19	19
雨水	2076	2	19	3	2	51
驚蜇	2076	3	5	1	0	21
春分	2076	3	20	1	38	16
清明	2076	4	4	5	19	46
榖雨	2076	4	19	12	11	22
立夏	2076	5	4	22	7	48
小滿	2076	5	20	10	54	14
芒種	2076	6	5	1	53	59
夏至	2076	6	20	18	36	12
小暑	2076	7	6	11	59	50
大暑	2076	7	22	5	29	7
立秋	2076	8	6	21	53	59
處暑	2076	8	22	12	47	7
白露	2076	9	7	1	8	27
秋分	2076	9	22	10	49	40
寒露	2076	10	7	17	14	20
霜降	2076	10	22	20	38	27
立冬	2076	11	6	20	52	56
小雪	2076	11	21	18	37	9
大雪	2076	12	6	14	4	56
冬至	2076	12	21	8	12	49
小寒	2077	1	5	1	27	55
大寒	2077	1	19	18	54	50
立春	2077	2	3	13	2	32
雨水	2077	2	18	8	53	1
驚蜇	2077	3	5	6	46	16
春分	2077	3	20	7	30	32
清明	2077	4	4	11	8	9
榖雨	2077	4	19	18	3	52
立夏	2077	5	5	3	57	29
小滿	2077	5	20	16	44	27
芒種	2077	6	5	7	44	0
夏至	2077	6	21	0	22	54
小暑	2077	7	6	17	50	19
大暑	2077	7	22	11	13	18
立秋	2077	8	7	3	45	56
處暑	2077	8	22	18	31	16
白露	2077	9	7	7	2	36
秋分	2077	9	22	16	35	18
寒露	2077	10	7	23	10	12
霜降	2077	10	23	2	25	28
立冬	2077	11	7	2	49	42
小雪	2077	11	22	0	24	49
大雪	2077	12	6	20	1	54
冬至	2077	12	21	14	0	16
小寒	2078	1	5	7	24	15
大寒	2078	1	20	0	40	51
立春	2078	2	3	18	56	49
雨水	2078	2	18	14	36	13
驚蜇	2078	3	5	12	37	22
春分	2078	3	20	13	10	17
清明	2078	4	4	16	55	34
榖雨	2078	4	19	23	40	20
立夏	2078	5	5	9	41	5
小滿	2078	5	20	22	18	49
芒種	2078	6	5	13	24	12
夏至	2078	6	21	5	57	24
小暑	2078	7	6	23	28	15
大暑	2078	7	22	16	50	24
立秋	2078	8	7	9	23	37
處暑	2078	8	23	0	13	22
白露	2078	9	7	12	43	6
秋分	2078	9	22	22	23	59
寒露	2078	10	8	4	55	28
霜降	2078	10	23	8	19	57
立冬	2078	11	7	8	38	51
小雪	2078	11	22	6	22	20
大雪	2078	12	7	1	52	14
冬至	2078	12	21	19	57	25
小寒	2079	1	5	13	12	58
大寒	2079	1	20	6	35	23
立春	2079	2	4	0	42	39
雨水	2079	2	18	20	27	51
驚蜇	2079	3	5	18	20	26
春分	2079	3	20	19	0	8
清明	2079	4	4	22	36	52
榖雨	2079	4	20	5	30	2
立夏	2079	5	5	15	21	45
小滿	2079	5	21	4	9	20
芒種	2079	6	5	19	5	23
夏至	2079	6	21	11	48	47
小暑	2079	7	7	5	11	11
大暑	2079	7	22	22	42	1
立秋	2079	8	7	15	8	49
處暑	2079	8	23	6	3	50
白露	2079	9	7	18	29	45
秋分	2079	9	23	4	12	38
寒露	2079	10	8	10	42	54
霜降	2079	10	23	14	7	26
立冬	2079	11	7	14	26	35
小雪	2079	11	22	12	9	8
大雪	2079	12	7	7	39	31
冬至	2079	12	22	1	43	29
小寒	2080	1	5	18	59	5
大寒	2080	1	20	12	20	27
立春	2080	2	4	6	27	26
雨水	2080	2	19	2	11	53
驚蜇	2080	3	5	0	4	38
春分	2080	3	20	0	43	36
清明	2080	4	4	4	22	11
榖雨	2080	4	19	11	13	49
立夏	2080	5	4	21	10	8
小滿	2080	5	20	9	53	54
芒種	2080	6	5	0	57	16
夏至	2080	6	20	17	33	34
小暑	2080	7	6	11	5	7
大暑	2080	7	22	4	26	21
立秋	2080	8	6	21	2	36
處暑	2080	8	22	11	47	27
白露	2080	9	7	0	21	56
秋分	2080	9	22	9	55	54
寒露	2080	10	7	16	33	50
霜降	2080	10	22	19	51	30
立冬	2080	11	6	20	18	8
小雪	2080	11	21	17	55	20
大雪	2080	12	6	13	33	21
冬至	2080	12	21	7	32	18
小寒	2081	1	5	0	55	31
大寒	2081	1	19	18	11	16
立春	2081	2	3	12	25	25
雨水	2081	2	18	8	3	17
驚蜇	2081	3	5	6	2	12
春分	2081	3	20	6	33	46
清明	2081	4	4	10	16	43
榖雨	2081	4	19	17	1	2
立夏	2081	5	5	2	59	26
小滿	2081	5	20	15	38	7
芒種	2081	6	5	6	40	40
夏至	2081	6	20	23	15	53
小暑	2081	7	6	16	43	1
大暑	2081	7	22	10	7	39
立秋	2081	8	7	2	36	32
處暑	2081	8	22	17	28	34
白露	2081	9	7	5	54	7
秋分	2081	9	22	15	37	19
寒露	2081	10	7	22	6	2
霜降	2081	10	23	1	34	2
立冬	2081	11	7	1	52	16
小雪	2081	11	21	23	40	43
大雪	2081	12	6	19	11	17
冬至	2081	12	21	13	22	1
小寒	2082	1	5	6	38	7
大寒	2082	1	20	0	5	18
立春	2082	2	3	18	11	43
雨水	2082	2	18	13	59	52
驚蜇	2082	3	5	11	49	40
春分	2082	3	20	12	30	7
清明	2082	4	4	16	2	39
榖雨	2082	4	19	22	54	53
立夏	2082	5	5	8	42	28
小滿	2082	5	20	21	28	16
芒種	2082	6	5	12	21	40
夏至	2082	6	21	5	2	47
小暑	2082	7	6	22	24	36
大暑	2082	7	22	15	52	33
立秋	2082	8	7	8	20	51
處暑	2082	8	22	23	12	58
白露	2082	9	7	11	42	5
秋分	2082	9	22	21	22	28
寒露	2082	10	8	3	57	1
霜降	2082	10	23	7	19	35
立冬	2082	11	7	7	43	46
小雪	2082	11	22	5	24	58
大雪	2082	12	7	1	1	5
冬至	2082	12	21	19	4	11
小寒	2083	1	5	12	25	41
大寒	2083	1	20	5	45	52
立春	2083	2	3	23	57	53
雨水	2083	2	18	19	39	45
驚蜇	2083	3	5	17	35	44
春分	2083	3	20	18	10	2
清明	2083	4	4	21	49	48
榖雨	2083	4	20	4	34	59
立夏	2083	5	5	14	31	6
小滿	2083	5	21	3	8	21
芒種	2083	6	5	18	11	29
夏至	2083	6	21	10	43	25
小暑	2083	7	7	4	15	21
大暑	2083	7	22	21	35	16
立秋	2083	8	7	14	12	21
處暑	2083	8	23	4	58	46
白露	2083	9	7	17	34	1
秋分	2083	9	23	3	11	9
寒露	2083	10	8	9	49	0
霜降	2083	10	23	13	9	52
立冬	2083	11	7	13	35	14
小雪	2083	11	22	11	15	9
大雪	2083	12	7	6	51	20
冬至	2083	12	22	0	52	54
小寒	2084	1	5	18	14	34
大寒	2084	1	20	11	33	8
立春	2084	2	4	5	46	10
雨水	2084	2	19	1	26	56
驚蜇	2084	3	4	23	24	35
春分	2084	3	19	23	59	0
清明	2084	4	4	3	39	59
榖雨	2084	4	19	10	27	12
立夏	2084	5	4	20	22	28
小滿	2084	5	20	9	3	57
芒種	2084	6	5	0	2	17
夏至	2084	6	20	16	40	7
小暑	2084	7	6	10	3	1
大暑	2084	7	22	3	30	7
立秋	2084	8	6	19	55	53
處暑	2084	8	22	10	49	58
白露	2084	9	6	23	13	53
秋分	2084	9	22	8	58	39
寒露	2084	10	7	15	26	47
霜降	2084	10	22	18	55	28
立冬	2084	11	6	19	13	5
小雪	2084	11	21	17	1	14
大雪	2084	12	6	12	30	44
冬至	2084	12	21	6	40	49
小寒	2085	1	4	23	55	51
大寒	2085	1	19	17	23	11
立春	2085	2	3	11	29	24
雨水	2085	2	18	7	19	7
驚蜇	2085	3	5	5	10	2
春分	2085	3	20	5	53	6
清明	2085	4	4	9	27	51
榖雨	2085	4	19	16	22	21
立夏	2085	5	5	2	12	35
小滿	2085	5	20	14	58	32
芒種	2085	6	5	5	54	9
夏至	2085	6	20	22	32	24
小暑	2085	7	6	15	55	53
大暑	2085	7	22	9	19	1
立秋	2085	8	7	1	49	0
處暑	2085	8	22	16	35	58
白露	2085	9	7	5	7	1
秋分	2085	9	22	14	43	4
寒露	2085	10	7	21	19	59
霜降	2085	10	23	0	39	44
立冬	2085	11	7	1	7	10
小雪	2085	11	21	22	46	47
大雪	2085	12	6	18	26	37
冬至	2085	12	21	12	28	18
小寒	2086	1	5	5	53	14
大寒	2086	1	19	23	11	11
立春	2086	2	3	17	25	59
雨水	2086	2	18	13	4	55
驚蜇	2086	3	5	11	3	26
春分	2086	3	20	11	34	51
清明	2086	4	4	15	17	11
榖雨	2086	4	19	22	0	6
立夏	2086	5	5	7	58	29
小滿	2086	5	20	20	34	13
芒種	2086	6	5	11	38	14
夏至	2086	6	21	4	9	11
小暑	2086	7	6	21	39	39
大暑	2086	7	22	14	59	15
立秋	2086	8	7	7	33	1
處暑	2086	8	22	22	20	28
白露	2086	9	7	10	52	0
秋分	2086	9	22	20	31	48
寒露	2086	10	8	3	6	39
霜降	2086	10	23	6	31	44
立冬	2086	11	7	6	55	17
小雪	2086	11	22	4	40	28
大雪	2086	12	7	0	15	28
冬至	2086	12	21	18	22	15
小寒	2087	1	5	11	42	9
大寒	2087	1	20	5	4	50
立春	2087	2	3	23	14	46
雨水	2087	2	18	18	58	15
驚蜇	2087	3	5	16	51	33
春分	2087	3	20	17	27	55
清明	2087	4	4	21	4	5
榖雨	2087	4	20	3	53	23
立夏	2087	5	5	13	44	17
小滿	2087	5	21	2	28	36
芒種	2087	6	5	17	24	5
夏至	2087	6	21	10	5	35
小暑	2087	7	7	3	27	34
大暑	2087	7	22	20	57	51
立秋	2087	8	7	13	23	55
處暑	2087	8	23	4	19	16
白露	2087	9	7	16	43	56
秋分	2087	9	23	2	27	55
寒露	2087	10	8	8	57	6
霜降	2087	10	23	12	23	50
立冬	2087	11	7	12	42	47
小雪	2087	11	22	10	28	46
大雪	2087	12	7	5	59	56
冬至	2087	12	22	0	8	6
小寒	2088	1	5	17	24	51
大寒	2088	1	20	10	50	14
立春	2088	2	4	4	57	43
雨水	2088	2	19	0	44	57
驚蜇	2088	3	4	22	36	37
春分	2088	3	19	23	16	39
清明	2088	4	4	2	52	23
榖雨	2088	4	19	9	43	49
立夏	2088	5	4	19	36	19
小滿	2088	5	20	8	19	47
芒種	2088	6	4	23	19	36
夏至	2088	6	20	15	56	20
小暑	2088	7	6	9	25	32
大暑	2088	7	22	2	47	49
立秋	2088	8	6	19	23	11
處暑	2088	8	22	10	9	8
白露	2088	9	6	22	43	32
秋分	2088	9	22	8	17	54
寒露	2088	10	7	14	55	55
霜降	2088	10	22	18	13	20
立冬	2088	11	6	18	40	17
小雪	2088	11	21	16	17	20
大雪	2088	12	6	11	56	18
冬至	2088	12	21	5	55	49
小寒	2089	1	4	23	20	48
大寒	2089	1	19	16	37	50
立春	2089	2	3	10	54	13
雨水	2089	2	18	6	33	26
驚蜇	2089	3	5	4	34	14
春分	2089	3	20	5	6	14
清明	2089	4	4	8	49	59
榖雨	2089	4	19	15	33	9
立夏	2089	5	5	1	31	25
小滿	2089	5	20	14	7	36
芒種	2089	6	5	5	10	6
夏至	2089	6	20	21	42	37
小暑	2089	7	6	15	10	42
大暑	2089	7	22	8	33	17
立秋	2089	8	7	1	4	15
